n_train,train_time,tier1_major_tourn,tier2_near_major,tier3_other_tourn,tier4_logins,log_loss,accuracy,inversions
227226,4.472402572631836,227226,0,0,0,0.5927131070461291,0.6762387352465066,0.0725
454452,5.331448316574097,227226,227226,0,0,0.578483742361013,0.6840969280482283,0.0365
908904,7.003937005996704,227226,526803,154875,0,0.5751797648686617,0.6866460340004837,0.0335
1407887,9.09064507484436,227226,526803,410314,243544,0.5725477060413748,0.6878988792616896,0.0295
