id,timestamp,event_type,values,game_id
47986195,2023-02-27 03:09:57.514+00,blessMaiden,"{1360,260,Blue}",645873
47986196,2023-02-27 03:09:58.411+00,carryFood,{3},645873
47986197,2023-02-27 03:09:59.044+00,getOffSnail,"{846,11,"""",9}",645873
47986198,2023-02-27 03:09:59.87+00,reserveMaiden,"{560,260,3}",645873
47986199,2023-02-27 03:10:00.2+00,unreserveMaiden,"{560,260,"""",3}",645873
47986200,2023-02-27 03:10:00.371+00,playerKill,"{553,321,8,3,Worker}",645873
47986201,2023-02-27 03:10:01.23+00,blessMaiden,"{1510,860,Red}",645873
47986202,2023-02-27 03:10:01.264+00,getOnSnail,"{846,11,9}",645873
47986203,2023-02-27 03:10:02.52+00,blessMaiden,"{560,260,Blue}",645873
47986204,2023-02-27 03:10:02.555+00,getOffSnail,"{821,11,"""",9}",645873
47986205,2023-02-27 03:10:02.852+00,playerKill,"{843,20,6,9,Worker}",645873
47986210,2023-02-27 03:10:03.78+00,getOnSnail,"{821,11,4}",645873
47986212,2023-02-27 03:10:06.295+00,carryFood,{3},645873
47986213,2023-02-27 03:10:07.164+00,playerKill,"{880,766,1,8,Soldier}",645873
47986214,2023-02-27 03:10:08.256+00,blessMaiden,"{960,500,Red}",645873
47986215,2023-02-27 03:10:09.344+00,blessMaiden,"{960,500,Blue}",645873
47986216,2023-02-27 03:10:09.83+00,playerKill,"{1152,534,7,10,Soldier}",645873
47986217,2023-02-27 03:10:10.029+00,getOffSnail,"{949,11,"""",4}",645873
47986218,2023-02-27 03:10:10.093+00,reserveMaiden,"{1510,860,3}",645873
47986220,2023-02-27 03:10:10.224+00,glance,"{917,20,9,4}",645873
47986221,2023-02-27 03:10:10.257+00,blessMaiden,"{960,500,Red}",645873
47986222,2023-02-27 03:10:11.089+00,playerKill,"{804,775,6,7,Soldier}",645873
47986223,2023-02-27 03:10:11.75+00,getOnSnail,"{949,11,9}",645873
47986224,2023-02-27 03:10:11.884+00,playerKill,"{830,763,5,6,Soldier}",645873
47986227,2023-02-27 03:10:12.108+00,snailEat,"{942,11,9,4}",645873
47986228,2023-02-27 03:10:12.109+00,glance,"{959,20,4,9}",645873
47986231,2023-02-27 03:10:13.185+00,useMaiden,"{1510,860,maiden_speed,3}",645873
47986232,2023-02-27 03:10:13.286+00,blessMaiden,"{1360,260,Red}",645873
47986234,2023-02-27 03:10:14.609+00,carryFood,{8},645873
47986235,2023-02-27 03:10:14.976+00,blessMaiden,"{960,500,Blue}",645873
47986236,2023-02-27 03:10:15.011+00,carryFood,{10},645873
47986237,2023-02-27 03:10:15.013+00,carryFood,{3},645873
47986238,2023-02-27 03:10:15.013+00,glance,"{1177,380,3,10}",645873
47986241,2023-02-27 03:10:15.273+00,playerKill,"{1105,423,1,10,Worker}",645873
47986242,2023-02-27 03:10:15.607+00,carryFood,{7},645873
47986243,2023-02-27 03:10:15.609+00,playerKill,"{959,20,9,4,Worker}",645873
47986244,2023-02-27 03:10:15.935+00,reserveMaiden,"{560,260,8}",645873
47986246,2023-02-27 03:10:16.369+00,reserveMaiden,"{1360,260,3}",645873
47986247,2023-02-27 03:10:16.596+00,glance,"{577,306,7,8}",645873
47986248,2023-02-27 03:10:16.709+00,unreserveMaiden,"{560,260,"""",8}",645873
47986249,2023-02-27 03:10:16.746+00,carryFood,{6},645873
47986251,2023-02-27 03:10:17.603+00,blessMaiden,"{560,260,Red}",645873
47986252,2023-02-27 03:10:17.671+00,reserveMaiden,"{560,260,7}",645873
47986254,2023-02-27 03:10:18.303+00,blessMaiden,"{560,260,Blue}",645873
