id,timestamp,event_type,values,game_id
32142809,2022-08-28 02:23:52.256+00,spawn,"{4,False}",418347
32142810,2022-08-28 02:23:52.389+00,spawn,"{10,False}",418347
32142812,2022-08-28 02:23:52.52+00,spawn,"{8,False}",418347
32142815,2022-08-28 02:23:52.724+00,spawn,"{6,False}",418347
32142818,2022-08-28 02:23:53.018+00,spawn,"{5,False}",418347
32142819,2022-08-28 02:23:53.138+00,mapstart,"{map_day,False,0,False,17.26}",418347
32142820,2022-08-28 02:23:53.138+00,spawn,"{1,False}",418347
32142821,2022-08-28 02:23:53.138+00,spawn,"{2,False}",418347
32142822,2022-08-28 02:23:53.138+00,playernames,"{"""","""","""","""","""","""","""","""","""",""""}",418347
32142824,2022-08-28 02:23:53.192+00,spawn,"{7,False}",418347
32142842,2022-08-28 02:23:54.352+00,spawn,"{3,False}",418347
32142849,2022-08-28 02:23:54.811+00,spawn,"{9,False}",418347
32142864,2022-08-28 02:23:56.998+00,blessMaiden,"{410,860,Blue}",418347
32142866,2022-08-28 02:23:57.233+00,blessMaiden,"{1510,860,Red}",418347
32142895,2022-08-28 02:24:02.136+00,gamestart,"{map_day,False,0,False,17.26}",418347
32142900,2022-08-28 02:24:02.796+00,carryFood,{7},418347
32142901,2022-08-28 02:24:02.796+00,carryFood,{8},418347
32142904,2022-08-28 02:24:03.394+00,carryFood,{5},418347
32142906,2022-08-28 02:24:03.429+00,carryFood,{4},418347
32142909,2022-08-28 02:24:03.924+00,carryFood,{9},418347
32142910,2022-08-28 02:24:03.924+00,glance,"{1000,775,2,1}",418347
32142911,2022-08-28 02:24:04.09+00,glance,"{893,545,10,3}",418347
32142915,2022-08-28 02:24:04.191+00,reserveMaiden,"{1510,860,7}",418347
32142918,2022-08-28 02:24:04.322+00,reserveMaiden,"{410,860,8}",418347
32142921,2022-08-28 02:24:04.422+00,glance,"{931,547,10,5}",418347
32142922,2022-08-28 02:24:04.555+00,carryFood,{3},418347
32142924,2022-08-28 02:24:05.15+00,glance,"{1009,775,1,2}",418347
32142931,2022-08-28 02:24:05.68+00,carryFood,{10},418347
32142932,2022-08-28 02:24:05.713+00,carryFood,{6},418347
32142933,2022-08-28 02:24:05.914+00,reserveMaiden,"{960,500,5}",418347
32142945,2022-08-28 02:24:07.403+00,useMaiden,"{410,860,maiden_speed,8}",418347
32142946,2022-08-28 02:24:07.471+00,unreserveMaiden,"{960,500,"""",5}",418347
