id,timestamp,event_type,values,game_id
26453415,2022-07-24 02:52:04.412+00,spawn,"{9,False}",398175
26453416,2022-07-24 02:52:04.516+00,spawn,"{7,False}",398175
26453417,2022-07-24 02:52:04.749+00,spawn,"{4,False}",398175
26453418,2022-07-24 02:52:04.803+00,spawn,"{8,False}",398175
26453419,2022-07-24 02:52:04.85+00,spawn,"{6,False}",398175
26453459,2022-07-24 02:52:16.789+00,reserveMaiden,"{1360,260,5}",398175
26453460,2022-07-24 02:52:17.155+00,carryFood,{10},398175
26453461,2022-07-24 02:52:17.651+00,getOnSnail,"{960,11,4}",398175
26453462,2022-07-24 02:52:17.884+00,reserveMaiden,"{560,260,6}",398175
26453463,2022-07-24 02:52:17.937+00,glance,"{560,260,6,9}",398175
26453464,2022-07-24 02:52:17.983+00,unreserveMaiden,"{560,260,"""",6}",398175
26453466,2022-07-24 02:52:18.413+00,glance,"{802,774,2,1}",398175
26453467,2022-07-24 02:52:19.243+00,glance,"{832,775,1,2}",398175
26453468,2022-07-24 02:52:19.442+00,useMaiden,"{1510,860,maiden_speed,7}",398175
26453469,2022-07-24 02:52:19.542+00,reserveMaiden,"{560,260,9}",398175
26453548,2022-07-24 02:52:33.882+00,playerKill,"{693,20,5,4,Worker}",398175
26453550,2022-07-24 02:52:34.98+00,blessMaiden,"{1360,260,Blue}",398175
26453551,2022-07-24 02:52:35.245+00,blessMaiden,"{960,500,Red}",398175
26453574,2022-07-24 02:52:36.505+00,glance,"{1105,159,3,8}",398175
26453576,2022-07-24 02:52:36.903+00,reserveMaiden,"{1360,260,10}",398175
26453577,2022-07-24 02:52:37.002+00,glance,"{1071,177,7,8}",398175
26453578,2022-07-24 02:52:37.101+00,unreserveMaiden,"{1360,260,"""",10}",398175
26453582,2022-07-24 02:52:37.996+00,reserveMaiden,"{1360,260,10}",398175
26453583,2022-07-24 02:52:38.194+00,unreserveMaiden,"{1360,260,"""",10}",398175
26453588,2022-07-24 02:52:38.36+00,reserveMaiden,"{1360,260,10}",398175
26453592,2022-07-24 02:52:38.558+00,blessMaiden,"{960,500,Blue}",398175
26453594,2022-07-24 02:52:38.856+00,blessMaiden,"{410,860,Red}",398175
26453595,2022-07-24 02:52:38.958+00,unreserveMaiden,"{1360,260,"""",10}",398175
26453597,2022-07-24 02:52:39.009+00,playerKill,"{1360,260,5,10,Worker}",398175
26453605,2022-07-24 02:52:40.609+00,getOnSnail,"{789,11,4}",398175
26453607,2022-07-24 02:52:40.774+00,blessMaiden,"{1510,860,Blue}",398175
26453609,2022-07-24 02:52:40.905+00,getOffSnail,"{785,11,"""",4}",398175
26453687,2022-07-24 02:52:50.562+00,glance,"{820,20,4,5}",398175
26453693,2022-07-24 02:52:51.426+00,playerKill,"{780,38,5,4,Worker}",398175
26453697,2022-07-24 02:52:51.852+00,blessMaiden,"{1360,260,Red}",398175
26453701,2022-07-24 02:52:52.184+00,carryFood,{7},398175
26453708,2022-07-24 02:52:53.111+00,blessMaiden,"{410,860,Blue}",398175
26453713,2022-07-24 02:52:54.305+00,blessMaiden,"{1510,860,Red}",398175
26453717,2022-07-24 02:52:55.263+00,reserveMaiden,"{1510,860,7}",398175
26453724,2022-07-24 02:52:56.356+00,glance,"{241,415,9,8}",398175
26453725,2022-07-24 02:52:56.398+00,carryFood,{4},398175
26453731,2022-07-24 02:52:58.325+00,useMaiden,"{1510,860,maiden_speed,7}",398175
26453736,2022-07-24 02:52:59.118+00,getOnSnail,"{747,11,4}",398175
26453737,2022-07-24 02:52:59.286+00,getOffSnail,"{747,11,"""",4}",398175
26453738,2022-07-24 02:52:59.336+00,playerKill,"{747,11,5,4,Worker}",398175
26453740,2022-07-24 02:52:59.516+00,blessMaiden,"{960,500,Blue}",398175
26453746,2022-07-24 02:53:00.679+00,carryFood,{7},398175
26453748,2022-07-24 02:53:01.305+00,blessMaiden,"{1360,260,Blue}",398175
26453751,2022-07-24 02:53:02.034+00,reserveMaiden,"{1360,260,10}",398175
26453757,2022-07-24 02:53:02.961+00,blessMaiden,"{960,500,Red}",398175
26453761,2022-07-24 02:53:03.924+00,blessMaiden,"{1510,860,Blue}",398175
26453764,2022-07-24 02:53:04.585+00,playerKill,"{633,493,1,4,Worker}",398175
26453769,2022-07-24 02:53:04.984+00,reserveMaiden,"{960,500,7}",398175
26453770,2022-07-24 02:53:05.116+00,useMaiden,"{1360,260,maiden_wings,10}",398175
26453771,2022-07-24 02:53:05.414+00,playerKill,"{1245,755,2,9,Soldier}",398175
26453777,2022-07-24 02:53:06.804+00,blessMaiden,"{960,500,Blue}",398175
26453790,2022-07-24 02:53:07.944+00,blessMaiden,"{410,860,Red}",398175
26453792,2022-07-24 02:53:08.046+00,useMaiden,"{960,500,maiden_wings,7}",398175
26453796,2022-07-24 02:53:08.476+00,playerKill,"{832,477,3,6,Soldier}",398175
26453800,2022-07-24 02:53:10.197+00,glance,"{640,189,4,5}",398175
26453805,2022-07-24 02:53:10.761+00,glance,"{647,108,4,5}",398175
26453806,2022-07-24 02:53:10.827+00,playerKill,"{651,124,3,4,Worker}",398175
26453809,2022-07-24 02:53:11.788+00,carryFood,{9},398175
26453824,2022-07-24 02:53:12.449+00,getOnSnail,"{747,11,9}",398175
26453825,2022-07-24 02:53:12.881+00,carryFood,{6},398175
26453827,2022-07-24 02:53:13.146+00,getOffSnail,"{762,11,"""",9}",398175
26453842,2022-07-24 02:53:15.534+00,getOnSnail,"{762,11,9}",398175
26453845,2022-07-24 02:53:16.991+00,useMaiden,"{960,500,maiden_wings,6}",398175
26453853,2022-07-24 02:53:18.477+00,getOnSnail,"{798,11,9}",398175
26453859,2022-07-24 02:53:20.068+00,carryFood,{10},398175
26453865,2022-07-24 02:53:20.861+00,playerKill,"{885,561,3,6,Soldier}",398175
26453868,2022-07-24 02:53:21.688+00,glance,"{801,775,2,1}",398175
26453877,2022-07-24 02:53:23.546+00,carryFood,{4},398175
26453880,2022-07-24 02:53:24.442+00,blessMaiden,"{960,500,Blue}",398175
26453882,2022-07-24 02:53:25.037+00,carryFood,{6},398175
26453884,2022-07-24 02:53:25.599+00,reserveMaiden,"{1360,260,10}",398175
26453885,2022-07-24 02:53:25.898+00,blessMaiden,"{560,260,Blue}",398175
26453887,2022-07-24 02:53:26.264+00,playerKill,"{1274,453,8,7,Soldier}",398175
26453888,2022-07-24 02:53:26.43+00,playerKill,"{1216,140,5,4,Worker}",398175
26453939,2022-07-24 02:53:34.845+00,blessMaiden,"{1360,260,Red}",398175
26453942,2022-07-24 02:53:35.441+00,glance,"{976,54,2,9}",398175
26453946,2022-07-24 02:53:36.296+00,useMaiden,"{1510,860,maiden_speed,7}",398175
26453953,2022-07-24 02:53:38.416+00,carryFood,{7},398175
26453956,2022-07-24 02:53:39.344+00,reserveMaiden,"{1360,260,7}",398175
26453958,2022-07-24 02:53:40.604+00,glance,"{897,59,9,10}",398175
26453961,2022-07-24 02:53:40.934+00,carryFood,{4},398175
26453963,2022-07-24 02:53:41.565+00,glance,"{661,21,3,8}",398175
26453964,2022-07-24 02:53:41.619+00,playerKill,"{662,21,8,3,Soldier}",398175
26453965,2022-07-24 02:53:41.763+00,playerKill,"{864,38,10,9,Worker}",398175
26453966,2022-07-24 02:53:41.961+00,playerKill,"{1317,260,1,4,Worker}",398175
26453968,2022-07-24 02:53:42.426+00,useMaiden,"{1360,260,maiden_wings,7}",398175
26453973,2022-07-24 02:53:46.26+00,blessMaiden,"{960,500,Red}",398175
26453975,2022-07-24 02:53:46.482+00,blessMaiden,"{1510,860,Blue}",398175
26453999,2022-07-24 02:53:47.642+00,carryFood,{3},398175
26454000,2022-07-24 02:53:48.368+00,blessMaiden,"{560,260,Red}",398175
26454002,2022-07-24 02:53:48.536+00,blessMaiden,"{1360,260,Blue}",398175
26454005,2022-07-24 02:53:49.099+00,getOnSnail,"{1128,11,4}",398175
26454006,2022-07-24 02:53:49.498+00,playerKill,"{1156,20,10,9,Worker}",398175
26454014,2022-07-24 02:53:52.113+00,playerKill,"{837,362,1,6,Soldier}",398175
26454017,2022-07-24 02:53:53.341+00,playerKill,"{555,355,1,8,Soldier}",398175
26454019,2022-07-24 02:53:53.671+00,blessMaiden,"{960,500,Blue}",398175
