id,timestamp,event_type,values,game_id
17333940,2022-05-23 02:13:41.907+00,blessMaiden,"{1610,620,Blue}",372822
17333941,2022-05-23 02:13:42.206+00,playerKill,"{561,408,8,3,Worker}",372822
17334242,2022-05-23 02:14:28.557+00,glance,"{429,56,4,9}",372822
17334286,2022-05-23 02:14:35.485+00,snailEat,"{348,11,9,4}",372822
17334289,2022-05-23 02:14:35.95+00,snailEscape,"{398,11,4}",372822
17334290,2022-05-23 02:14:35.993+00,getOffSnail,"{348,11,"""",9}",372822
17334291,2022-05-23 02:14:35.993+00,playerKill,"{348,11,8,9,Worker}",372822
17336105,2022-05-23 02:22:04.234+00,spawn,"{4,False}",372831
17336106,2022-05-23 02:22:04.275+00,spawn,"{5,False}",372831
17336107,2022-05-23 02:22:04.437+00,spawn,"{6,False}",372831
17336108,2022-05-23 02:22:04.554+00,spawn,"{7,False}",372831
17336109,2022-05-23 02:22:04.675+00,spawn,"{8,False}",372831
17336110,2022-05-23 02:22:04.839+00,spawn,"{10,False}",372831
17336111,2022-05-23 02:22:05.122+00,spawn,"{1,False}",372831
17336113,2022-05-23 02:22:05.175+00,spawn,"{2,False}",372831
17336114,2022-05-23 02:22:05.175+00,playernames,"{"""","""","""","""","""","""","""","""","""",""""}",372831
17336115,2022-05-23 02:22:05.611+00,spawn,"{3,False}",372831
17336116,2022-05-23 02:22:05.895+00,spawn,"{9,False}",372831
17336146,2022-05-23 02:22:14.115+00,gamestart,"{map_night,False,0,False}",372831
17336148,2022-05-23 02:22:15.374+00,carryFood,{6},372831
17336149,2022-05-23 02:22:15.474+00,carryFood,{8},372831
17336150,2022-05-23 02:22:15.518+00,carryFood,{4},372831
17336151,2022-05-23 02:22:15.572+00,carryFood,{5},372831
17336155,2022-05-23 02:22:15.904+00,carryFood,{10},372831
17336156,2022-05-23 02:22:15.95+00,reserveMaiden,"{170,740,6}",372831
17336157,2022-05-23 02:22:16.005+00,carryFood,{3},372831
17336158,2022-05-23 02:22:16.163+00,blessMaiden,"{960,700,Blue}",372831
17336159,2022-05-23 02:22:16.211+00,reserveMaiden,"{1750,740,5}",372831
17336160,2022-05-23 02:22:16.257+00,carryFood,{7},372831
17336161,2022-05-23 02:22:16.303+00,glance,"{52,869,9,10}",372831
17336162,2022-05-23 02:22:16.535+00,blessMaiden,"{700,260,Red}",372831
17336174,2022-05-23 02:22:17.164+00,reserveMaiden,"{700,260,3}",372831
17336177,2022-05-23 02:22:17.662+00,reserveMaiden,"{1220,260,7}",372831
17336178,2022-05-23 02:22:17.861+00,glance,"{273,260,4,9}",372831
17336180,2022-05-23 02:22:18.258+00,glance,"{423,295,8,1}",372831
17336188,2022-05-23 02:22:19.584+00,carryFood,{6},372831
