id,timestamp,event_type,values,game_id
21226021,2022-06-19 01:24:12.913+00,useMaiden,"{960,500,maiden_wings,7}",383444
21226030,2022-06-19 01:24:13.873+00,getOnSnail,"{429,11,10}",383444
21226033,2022-06-19 01:24:14.173+00,glance,"{750,775,1,2}",383444
21226034,2022-06-19 01:24:14.216+00,getOffSnail,"{429,11,"""",10}",383444
21226035,2022-06-19 01:24:14.216+00,playerKill,"{429,11,3,10,Worker}",383444
21226036,2022-06-19 01:24:14.966+00,carryFood,{6},383444
21226038,2022-06-19 01:24:15.196+00,carryFood,{9},383444
21226041,2022-06-19 01:24:15.394+00,getOnSnail,"{429,11,9}",383444
21226044,2022-06-19 01:24:15.631+00,carryFood,{4},383444
21226046,2022-06-19 01:24:16.057+00,blessMaiden,"{960,500,Red}",383444
21226047,2022-06-19 01:24:16.098+00,playerKill,"{1014,500,1,6,Worker}",383444
21226071,2022-06-19 01:24:20.038+00,glance,"{1458,338,5,4}",383444
21226075,2022-06-19 01:24:21.13+00,blessMaiden,"{960,500,Blue}",383444
21226078,2022-06-19 01:24:21.757+00,carryFood,{10},383444
21226079,2022-06-19 01:24:21.955+00,carryFood,{6},383444
21226172,2022-06-19 01:24:36.771+00,snailEscape,"{596,11,9}",383444
21226173,2022-06-19 01:24:36.825+00,getOffSnail,"{646,11,"""",4}",383444
21226174,2022-06-19 01:24:36.825+00,playerKill,"{646,11,3,4,Worker}",383444
21226179,2022-06-19 01:24:37.367+00,blessMaiden,"{410,860,Blue}",383444
21226181,2022-06-19 01:24:37.467+00,getOnSnail,"{646,11,9}",383444
21226183,2022-06-19 01:24:37.83+00,carryFood,{8},383444
21226213,2022-06-19 01:24:40.515+00,carryFood,{10},383444
21226214,2022-06-19 01:24:40.559+00,reserveMaiden,"{410,860,8}",383444
21226239,2022-06-19 01:24:44.523+00,carryFood,{4},383444
21226265,2022-06-19 01:24:49.029+00,carryFood,{10},383444
21226281,2022-06-19 01:24:51.614+00,glance,"{461,414,1,2}",383444
21226291,2022-06-19 01:24:54.547+00,reserveMaiden,"{560,260,8}",383444
21226292,2022-06-19 01:24:55.144+00,glance,"{767,439,3,4}",383444
21226306,2022-06-19 01:24:57.597+00,useMaiden,"{560,260,maiden_wings,8}",383444
21226312,2022-06-19 01:24:58.888+00,glance,"{571,415,8,3}",383444
21226316,2022-06-19 01:24:59.355+00,glance,"{1612,415,1,2}",383444
21226387,2022-06-19 01:25:13.283+00,blessMaiden,"{560,260,Red}",383444
21226476,2022-06-19 01:25:26.734+00,playerKill,"{673,643,7,6,Soldier}",383444
21226478,2022-06-19 01:25:26.932+00,blessMaiden,"{1360,260,Red}",383444
21226479,2022-06-19 01:25:27.031+00,reserveMaiden,"{1360,260,5}",383444
21226483,2022-06-19 01:25:28.242+00,blessMaiden,"{1510,860,Blue}",383444
21226484,2022-06-19 01:25:28.309+00,carryFood,{9},383444
21226492,2022-06-19 01:25:29.105+00,getOffSnail,"{629,11,"""",10}",383444
21226497,2022-06-19 01:25:30.095+00,useMaiden,"{1360,260,maiden_wings,5}",383444
21226498,2022-06-19 01:25:30.163+00,glance,"{326,132,10,9}",383444
21226508,2022-06-19 01:25:31.522+00,getOnSnail,"{629,11,10}",383444
21226511,2022-06-19 01:25:31.691+00,getOffSnail,"{629,11,"""",10}",383444
21226512,2022-06-19 01:25:31.743+00,playerKill,"{629,11,7,10,Worker}",383444
21226517,2022-06-19 01:25:32.552+00,getOnSnail,"{629,11,9}",383444
21226519,2022-06-19 01:25:32.714+00,carryFood,{6},383444
21226521,2022-06-19 01:25:33.015+00,blessMaiden,"{1360,260,Blue}",383444
21226536,2022-06-19 01:25:37.013+00,getOffSnail,"{722,11,"""",9}",383444
21226537,2022-06-19 01:25:37.206+00,glance,"{719,57,9,10}",383444
21226542,2022-06-19 01:25:38.1+00,playerKill,"{797,38,8,9,Worker}",383444
21226543,2022-06-19 01:25:38.15+00,reserveMaiden,"{1510,860,6}",383444
21226544,2022-06-19 01:25:38.766+00,unreserveMaiden,"{1510,860,"""",6}",383444
21226546,2022-06-19 01:25:38.822+00,playerKill,"{1510,860,5,6,Worker}",383444
21226547,2022-06-19 01:25:38.963+00,playerKill,"{675,20,3,10,Worker}",383444
21226548,2022-06-19 01:25:39.393+00,blessMaiden,"{1510,860,Red}",383444
21226554,2022-06-19 01:25:40.488+00,glance,"{812,775,7,4}",383444
21226571,2022-06-19 01:25:43.851+00,carryFood,{9},383444
21226576,2022-06-19 01:25:44.912+00,getOnSnail,"{722,11,10}",383444
21226581,2022-06-19 01:25:45.608+00,snailEat,"{711,11,10,9}",383444
21226582,2022-06-19 01:25:45.661+00,glance,"{727,20,9,10}",383444
21226584,2022-06-19 01:25:45.838+00,playerKill,"{1169,775,1,2,Queen}",383444
21226586,2022-06-19 01:25:46.172+00,carryFood,{6},383444
21226587,2022-06-19 01:25:46.638+00,playerKill,"{990,775,1,4,Soldier}",383444
21226588,2022-06-19 01:25:47.23+00,snailEscape,"{661,11,9}",383444
21226590,2022-06-19 01:25:47.28+00,getOffSnail,"{711,11,"""",10}",383444
21226591,2022-06-19 01:25:47.28+00,playerKill,"{711,11,3,10,Worker}",383444
21226594,2022-06-19 01:25:47.394+00,blessMaiden,"{960,500,Red}",383444
21226597,2022-06-19 01:25:47.861+00,getOnSnail,"{711,11,9}",383444
21226599,2022-06-19 01:25:48.291+00,playerKill,"{809,397,7,6,Worker}",383444
21226622,2022-06-19 01:25:48.59+00,getOffSnail,"{725,11,"""",9}",383444
21226623,2022-06-19 01:25:48.79+00,playerKill,"{754,51,8,9,Worker}",383444
21226625,2022-06-19 01:25:49.021+00,blessMaiden,"{1360,260,Red}",383444
21226631,2022-06-19 01:25:50.644+00,blessMaiden,"{410,860,Blue}",383444
21226634,2022-06-19 01:25:51.041+00,carryFood,{4},383444
21226646,2022-06-19 01:25:52.948+00,getOnSnail,"{725,11,10}",383444
21226648,2022-06-19 01:25:53.142+00,carryFood,{9},383444
21226652,2022-06-19 01:25:53.771+00,getOffSnail,"{711,11,"""",10}",383444
21226655,2022-06-19 01:25:53.905+00,playerKill,"{693,58,3,10,Worker}",383444
21226656,2022-06-19 01:25:54.101+00,carryFood,{6},383444
21226661,2022-06-19 01:25:54.401+00,blessMaiden,"{560,260,Blue}",383444
21226662,2022-06-19 01:25:54.597+00,glance,"{854,233,9,4}",383444
21226663,2022-06-19 01:25:54.664+00,glance,"{783,141,7,4}",383444
21226664,2022-06-19 01:25:54.731+00,playerKill,"{805,154,7,4,Worker}",383444
21226666,2022-06-19 01:25:55.361+00,blessMaiden,"{560,260,Red}",383444
21226669,2022-06-19 01:25:55.793+00,reserveMaiden,"{410,860,6}",383444
21226670,2022-06-19 01:25:56.055+00,unreserveMaiden,"{410,860,"""",6}",383444
21226672,2022-06-19 01:25:56.106+00,playerKill,"{410,860,5,6,Worker}",383444
21226676,2022-06-19 01:25:56.887+00,getOnSnail,"{711,11,9}",383444
21226685,2022-06-19 01:25:58.61+00,blessMaiden,"{1510,860,Blue}",383444
21226688,2022-06-19 01:25:59.188+00,getOffSnail,"{759,11,"""",9}",383444
21226693,2022-06-19 01:25:59.851+00,carryFood,{4},383444
21226694,2022-06-19 01:25:59.992+00,carryFood,{10},383444
21226697,2022-06-19 01:26:00.184+00,getOnSnail,"{759,11,9}",383444
21226699,2022-06-19 01:26:01.308+00,carryFood,{6},383444
21226705,2022-06-19 01:26:02.135+00,glance,"{768,775,1,2}",383444
21226707,2022-06-19 01:26:02.472+00,playerKill,"{846,775,5,2,Queen}",383444
21226708,2022-06-19 01:26:02.519+00,gameend,"{map_day,False,171.0613,False}",383444
21226709,2022-06-19 01:26:02.519+00,victory,"{Gold,military}",383444
21226086,2022-06-19 01:24:23.251+00,reserveMaiden,"{1510,860,10}",383444
21226091,2022-06-19 01:24:23.912+00,playerKill,"{463,127,8,9,Worker}",383444
21226105,2022-06-19 01:24:24.509+00,blessMaiden,"{960,500,Red}",383444
21226114,2022-06-19 01:24:26.333+00,useMaiden,"{1510,860,maiden_speed,10}",383444
21226115,2022-06-19 01:24:26.697+00,carryFood,{9},383444
21226119,2022-06-19 01:24:27.061+00,glance,"{1240,906,9,2}",383444
21226121,2022-06-19 01:24:28.451+00,reserveMaiden,"{1510,860,6}",383444
21226122,2022-06-19 01:24:28.75+00,carryFood,{10},383444
21226123,2022-06-19 01:24:28.982+00,playerKill,"{1586,926,8,1,Queen}",383444
21226129,2022-06-19 01:24:30.807+00,blessMaiden,"{960,500,Blue}",383444
21226132,2022-06-19 01:24:31.5+00,getOnSnail,"{588,11,4}",383444
