bin_lo,bin_hi,n,mean_pred,emp_rate,gap
0.0,0.1,7984,0.05402911382259656,0.03557114228456914,0.018457971538027418
0.1,0.2,15318,0.1524827243519678,0.11568089828959394,0.036801826062373866
0.2,0.30000000000000004,20913,0.2525140248695597,0.22005451154784106,0.03245951332171865
0.30000000000000004,0.4,28217,0.35248959360503657,0.3283835985398873,0.024105995065149266
0.4,0.5,40216,0.45390791007606474,0.4590461507857569,0.0051382407096921545
0.5,0.6000000000000001,43366,0.5462910088363842,0.5838444864640502,0.03755347762766603
0.6000000000000001,0.7000000000000001,30767,0.6481336423065723,0.7008158091461631,0.052682166839590816
0.7000000000000001,0.8,21905,0.7475622136663906,0.7940652818991097,0.0465030682327191
0.8,0.9,15902,0.8459286691082041,0.8660545843290152,0.020125915220811086
0.9,1.0,8950,0.9468076422243127,0.9688268156424581,0.02201917341814541
