,n,pos_rate,logloss,brier,acc@0.5,auc
early,58383.0,0.5178562252710549,0.6412966192736662,0.22517996262337647,0.6370347532672181,0.6890709075132472
mid,81738.0,0.5191710098118378,0.5495824010800493,0.18555623713366423,0.71813599549781,0.7977215165021749
late,93417.0,0.5184602374300181,0.512513783370251,0.17183678456342313,0.7395870130704262,0.8225563020208959
